manipulative_top,manipulative_weight,non_manipulative_top,non_manipulative_weight
funeral,21.1072,to help,-1.3907
please help,17.7108,bills,-1.3712
right now,12.6039,medical expenses,-1.3327
immediately,9.1863,please donate,-1.2258
death,8.6054,consider,-1.1901
right,8.2127,is currently,-1.1645
funeral expenses,7.5815,fire,-1.1576
please,7.0269,please consider,-1.156
the funeral,5.4689,recovery,-1.1421
heartbreaking,5.0594,can help,-0.9969
now,4.8393,their home,-0.9069
asap,4.7184,the right,-0.9033
urgent,4.6092,journey,-0.8922
funeral and,4.429,is now,-0.849
funeral costs,3.892,prayer,-0.8117
desperate,3.89,recovering,-0.7785
help us,3.5047,is,-0.769
nightmare,3.38,several,-0.766
with funeral,3.2944,does,-0.7597
abandoned,3.1966,anyone who,-0.7522
help,3.021,hospital,-0.7363
his funeral,2.9678,surgery on,-0.7346
help me,2.7268,lot,-0.7339
for funeral,2.6345,many of,-0.7256
and funeral,2.5415,how they,-0.7239
